
8480,1881,5447,-388,3893,178,0
8346,1826,5606,-184,4021,96,0
8622,1940,5840,-281,4070,26,0
8659,1928,5623,-351,3973,47,0
8579,1920,5695,-258,3980,56,0
8686,1773,5671,-289,4200,169,0
8728,1965,5738,-332,4008,131,0
8881,1850,5934,-245,4238,178,0
8163,1686,5345,-180,3870,212,0
8716,1761,5500,-409,4062,146,0
8347,1708,5401,-333,3921,90,0
8119,1693,5458,-176,3866,104,0
8790,1750,5697,-330,4157,179,0
8697,1768,5725,-324,4069,21,0
8147,1726,5318,-238,3802,153,0
8538,1697,5845,-147,4168,113,0
8757,1826,5997,-245,4122,-4,0
8366,1672,5153,-395,3933,201,0
8386,1659,5756,-146,4095,91,0
8848,1726,5488,-388,4194,186,0
8479,1671,5495,-370,3968,85,0
8144,1711,5594,-105,3941,58,0
8666,1711,5727,-262,4153,124,0
8557,1775,5805,-237,4045,-51,0
8333,1660,5188,-363,3957,180,0
8357,1675,5780,-86,4149,100,0
8703,1799,6029,-184,4133,10,0
8275,1804,5657,-225,3887,4,0
8455,1614,5525,-186,4154,172,0
8834,1738,5616,-331,4220,205,0
8333,1686,5325,-365,3928,106,0
8530,1619,5380,-327,4120,205,0
8455,1722,5831,-112,4071,33,0
8792,1696,5408,-473,4144,161,0
8186,1722,5559,-209,3865,5,0
8241,1661,5685,-100,4024,72,0
8849,1881,5998,-249,4130,25,0
8397,1699,5380,-395,3933,118,0
8374,1657,5437,-265,4040,128,0
8418,1773,5618,-155,4070,121,0
8817,1780,5691,-206,4236,228,0
8764,2023,5782,-298,3934,45,0
8494,1877,5445,-364,3942,151,0
8388,1815,5603,-215,3935,68,0
8537,1733,5581,-203,4114,151,0
8899,1775,5759,-354,4192,83,0
8486,1793,5816,-205,4005,-5,0
8240,1724,5594,-176,3936,76,0
8126,1722,5696,-23,3939,56,0
8772,1806,5803,-287,4160,100,0
8710,1742,5472,-399,4103,193,0
8107,1677,5290,-281,3826,123,0
8199,1667,5598,-115,4005,79,0
8986,1801,5943,-245,4300,134,0
8446,1758,5699,-214,3979,60,0
8186,1732,5655,-155,3896,13,0
8334,1701,5748,-164,4071,56,0
8766,1817,5735,-313,4113,74,0
8512,1671,5290,-435,3984,164,0
8365,1702,5320,-297,4000,192,0
8496,1820,5812,-188,4060,45,0
8930,1824,5786,-409,4164,115,0
8464,1756,5441,-391,3993,116,0
8736,1787,5705,-249,4162,168,0
8860,1906,5708,-466,4090,111,0
8146,1923,5518,-189,3754,20,0
8444,1824,5730,-156,4010,107,0
8577,1828,5536,-308,4009,122,1
6873,906,5015,740,4338,634,1
7775,1769,5264,-171,3682,47,1
8023,296,5763,271,4817,187,1
7350,-712,4954,-993,4514,-815,1
8818,1837,5990,103,4500,315,1
6220,-395,4330,-158,4007,-249,1
8195,1707,5453,-186,3793,61,1
7578,502,5401,321,4605,359,1
8214,1702,5440,-136,3913,98,1
8865,1877,5628,-249,4118,313,1
9285,-396,4434,335,4559,-380,1
8808,-296,4185,462,4381,-222,1
8742,1712,5589,-135,4111,307,1
8454,2038,5304,-529,3706,28,1
7684,1785,4898,-302,3524,129,1
6929,178,5054,88,4272,300,1
9557,2001,6127,-6,4599,358,1
8243,1500,5256,-432,3871,61,1
8288,1747,5050,-457,3850,195,1
8574,1912,5880,-225,4019,-40,1
7219,509,5192,355,4495,370,1
8362,1798,5672,-239,3986,-8,1
8544,1836,5696,-146,3912,56,1
7655,441,5472,256,4624,250,1
8145,1857,5288,-260,3824,203,1
5433,-1142,4423,-285,4374,-219,1
8771,1674,5920,-168,4263,70,1
8200,1589,5281,-130,4056,181,1
8395,1886,5257,-291,3831,142,1
8303,1799,5771,-318,3894,-93,1
8393,1762,5443,-344,4007,134,1
8199,1810,5647,-321,4119,14,1
7112,112,5069,-14,4392,-55,1
9226,1777,5917,-246,4401,191,1
6203,151,4493,-107,3779,-107,1
9324,1841,6231,-289,4515,44,1
7933,1867,5468,24,3818,234,1
8927,1557,5556,-655,4172,-49,1
6667,471,4849,217,3995,220,1
8774,1819,5778,-358,4090,33,1
9119,1825,6105,-43,4538,345,1
9026,-362,4369,276,4534,-267,1
8287,2107,4906,-450,3607,317,1
8186,313,5679,79,4839,266,1
7388,-415,5212,-245,4631,-189,1
8548,1928,5273,-335,3955,369,1
6905,-90,4725,184,4204,145,1
8551,1873,5779,-250,3999,53,1
8737,1740,5441,-262,4111,294,1
8461,1826,5685,-309,3891,69,1
8144,2094,5652,-224,3682,49,1
8853,1831,5617,-134,4301,288,1
7575,-210,5090,29,4658,20,1
6517,-240,4329,56,4165,-139,1
8729,2130,5870,-344,3926,41,1
8795,1846,5738,-314,4117,103,1
8640,1676,5362,-432,4097,190,1
8258,1728,5614,-110,3961,117,1
8251,1616,5244,-313,3988,219,1
8457,1678,5491,-279,4083,189,1
8634,1734,5685,-424,4093,121,1
8091,1906,5428,-381,3703,26,1
8497,1863,5550,-281,3976,136,1
8877,1997,5664,-510,4105,225,1
7095,217,5056,187,4081,184,1
8083,1557,5406,-167,3826,31,1
8220,1918,5660,-174,3817,42,1
9206,1758,6186,-356,4360,-70,1
7895,1498,5100,-262,3889,170,1
9361,1539,5977,7,4514,297,1
6780,-203,4813,-153,4362,-43,1
7644,1510,5258,7,3629,399,1
8783,1340,5657,-182,4454,206,1
8288,1413,5800,-5,4252,151,1
8873,1414,5587,-124,4485,272,1
5292,264,4325,-173,3696,176,1
7536,435,5393,241,4650,386,1
9748,-208,5049,462,5002,-193,1
7939,1487,5227,-299,3849,3,1
