Tiempo(s),Amplitud,C0,C1,C2,C3,C4,C5,Clase
0.0389,2961,986411,2073351,470293,-320108,-652367,-22278,0
0.6194,2852,1023016,2035801,350937,-415475,-523954,121737,0
1.1889,2852,935817,1879394,489110,-148622,-562876,166472,0
1.7528,2970,989418,2010611,613403,-254199,-736079,-50252,0
2.3194,2919,1239826,1976283,122564,-484566,-578109,189334,0
2.8917,2818,1014329,1782446,332914,-323456,-583773,196578,0
3.4667,3003,1090268,2065781,475098,-406902,-735176,131918,0
4.0472,2884,1123101,1897976,255610,-495359,-607207,138996,0
4.6306,2796,948739,1776635,390630,-191784,-531566,169414,0
5.1917,2939,949964,1998802,598407,-255960,-678909,-32815,0
5.7583,2899,1186581,1888004,99025,-537049,-546954,240839,0
6.3333,2800,856775,1792490,603445,-244554,-637240,-5672,0
6.8833,2913,1088397,1872994,261519,-399085,-545991,172237,0
7.4250,2975,1201640,2022314,262466,-459195,-707923,196243,0
7.9667,2992,1029253,2117918,461774,-367956,-754709,-10556,0
8.4944,3037,1088394,2126992,394879,-481047,-738681,79054,0
9.0083,2753,1060189,1757677,89497,-313354,-494831,154185,0
9.5250,3028,1193428,1987106,313262,-463218,-852270,177904,0
10.0583,2891,1005399,1891731,481663,-403426,-685416,-34880,0
10.5972,2764,916910,1732525,356808,-160500,-536353,130817,0
11.1472,2975,1044662,1961321,403594,-367920,-681808,-26651,0
11.7194,2894,1081258,1863522,282551,-368417,-728287,130099,0
12.3250,2766,949669,1774307,311942,-384093,-581645,201763,0
12.9306,2667,1022187,1640345,107539,-377844,-380058,183261,0
13.5306,2767,1106188,1899985,188127,-518603,-567733,138392,0
14.1278,2827,903064,1841426,457165,-274171,-626024,33663,0
14.7111,2710,882418,1642730,269350,-258634,-449162,204675,0
15.2861,2925,994271,1877039,415925,-315167,-666204,38274,0
15.8611,2826,904293,1869522,494716,-248698,-631930,-1866,0
16.4500,2750,1042897,1689892,198018,-441539,-563317,146018,0
17.0361,2817,1044405,1689043,207175,-355108,-504570,248881,0
17.6500,2929,1030102,1867050,311431,-400217,-695747,117006,0
18.2972,2891,1021342,1860716,341251,-340952,-603373,76715,0
18.9361,2709,896146,1701522,333244,-225372,-456474,124568,0
19.5500,3004,1053994,1993962,445763,-386946,-712138,-20084,0
20.1861,2865,1106150,1832026,223399,-442960,-585465,215315,0
20.8333,2729,1032623,1635105,223837,-358560,-516793,185008,0
21.4500,2874,1120303,1784923,161278,-380730,-488163,165704,0
22.0944,2906,1145160,1913131,171460,-489289,-648470,177336,0
22.7500,2790,1050553,1729818,262288,-375514,-616288,158668,0
23.3722,2845,1084814,1759810,193187,-335690,-563714,218298,0
