Tiempo(s),Amplitud,C0,C1,C2,C3,C4,C5,Clase
0.1250,1687,1341273,2512982,432774,-524186,-901204,-29390,0
0.4250,3114,1192090,2516435,763688,-362048,-1027525,-202870,0
0.9028,3189,1615355,2566417,249242,-793292,-1081387,-53009,0
1.4028,3166,1188143,2740646,856377,-352488,-1184953,-350466,0
1.9333,3212,1361766,2677871,723269,-506284,-1136652,-246306,0
2.5000,3327,1821108,2384408,881265,-883318,-803611,-301613,0
3.0444,3138,1498820,2377379,291387,-693758,-868331,-45357,0
3.5611,3043,1277730,2364836,526485,-502959,-936007,-120947,0
4.0694,3010,1381556,2356697,388369,-529567,-916772,-82369,0
4.5917,3099,1430505,2458378,223296,-736348,-1000739,-57548,0
5.1306,3234,1536662,2517375,254281,-820818,-1046138,-162602,0
5.6889,2957,1454758,2617298,470455,-707041,-1090044,-231506,0
6.2583,3257,1324660,2738687,731732,-427718,-1077752,-154916,0
6.8194,3350,1020661,2595398,1111294,-121047,-1030334,-382303,0
7.3583,3232,1254184,2510349,660539,-556356,-1035650,-213075,0
7.8694,3043,1315911,2420248,450849,-608469,-969154,-66183,0
8.3694,3151,1249017,2476359,698287,-324545,-980597,-131175,0
8.8750,3177,1408210,2385871,375363,-639958,-942819,-104001,0
9.3806,3183,1497876,2348571,202784,-752576,-894946,-12354,0
9.9083,3049,1465080,2494990,364596,-702724,-1036493,-153714,0
10.4667,3217,1452023,2696245,545417,-534077,-1098195,-153285,0
11.0417,3341,1255664,2725456,905650,-332797,-1136963,-351328,0
11.6528,3222,1500340,2597564,387615,-694437,-1004700,-94787,0
12.2194,3174,1148998,2516410,755310,-367854,-969128,-193433,0
12.7417,3135,1145409,2480820,814050,-307506,-926096,-170677,0
13.2472,3090,1529992,2271072,138123,-668563,-887598,-1231,0
13.7472,3173,1387260,2452652,486253,-582292,-979266,-138862,0
14.2694,3042,1268962,2565137,868467,-445073,-1162172,-420217,0
14.8361,3027,1309226,2768006,760694,-385028,-1119233,-235254,0
15.4278,3351,1343099,2636643,659710,-493584,-1060606,-216920,0
15.9861,3321,1197953,2441160,684427,-430836,-949303,-150234,0
16.5250,3193,1347621,2375744,451306,-555800,-912956,-24572,0
17.0500,3104,1302084,2358603,535789,-461220,-925554,-132432,0
17.6083,3125,1556586,2425297,205760,-757223,-954534,-27252,0
18.2028,3199,1482152,2613516,535688,-522917,-1054722,-177897,0
18.8333,3290,1291353,2728026,897332,-341788,-1123286,-348595,0
19.4889,2933,1289062,2622826,770116,-523910,-1096861,-398418,0
20.1083,3122,1176914,2659358,733922,-218412,-970802,-23716,0
20.6750,3359,1135220,2379416,723448,-317944,-822887,-210521,0
21.2083,3299,1512791,2307110,147965,-757184,-852553,-27734,0
21.7500,3279,1314382,2604932,686353,-536651,-1118614,-277499,0
22.2778,3280,1381750,2716675,687810,-557564,-1128311,-213260,0
22.8389,3216,1391043,2690470,589348,-562914,-1093952,-178604,0
23.4472,3192,1236426,2640458,802486,-378448,-1091068,-249236,0
24.0250,3143,1383595,2408046,341043,-588143,-863326,31122,0
24.5917,3167,1254565,2470562,548720,-513861,-934830,-109888,0
25.1806,3234,1270728,2667330,825408,-364589,-1137027,-312203,0
25.8000,3205,1175344,2696197,954734,-289136,-1095363,-358969,0
26.4250,3226,1399158,2654086,512660,-589940,-1064613,-146648,0
27.0028,3183,1373712,2441175,325248,-616261,-851611,15531,0
27.5556,3140,1468199,2317331,178520,-687228,-836400,17040,0
28.1278,3061,1244526,2522592,694702,-421076,-1046860,-231645,0
28.7333,3262,1636316,2666442,334153,-695810,-1052056,-102716,0
29.3667,3336,1486803,2698578,509331,-633408,-1076852,-196509,0
30.0222,3303,1392050,2644474,591762,-596289,-1069745,-164783,0
30.6222,2940,1122197,2473256,828548,-318370,-970894,-284458,0
31.1861,3019,1261399,2468592,578939,-415867,-915119,-14838,0
31.7611,3345,1338824,2635330,736564,-416910,-1075979,-227307,0
32.3417,3315,1520179,2651586,393571,-716943,-1103635,-217205,0
32.9444,3326,1270192,2767695,861139,-317133,-1115279,-321378,0
33.5667,3258,1334669,2636590,659420,-523639,-1040120,-147894,0
34.1556,3139,1313478,2470783,490500,-532966,-890270,-64599,0
34.7361,3192,1219025,2530373,666377,-417012,-981997,-176458,0
35.3639,3283,1352020,2666745,744762,-460736,-1114007,-292140,0
36.0083,3245,1235043,2691677,855334,-328676,-1083338,-303262,0
36.6639,3245,1327469,2628295,676895,-470463,-1058602,-216284,0
37.2750,3200,1467286,2474523,289261,-648196,-926721,-6952,0
37.8417,3138,1116224,2401722,724441,-286925,-943689,-177140,0
38.3972,3078,1175700,2472750,811199,-462158,-1099156,-349669,0
38.9556,2846,1527208,2651251,341038,-711533,-1075528,-99755,0
39.5278,3359,1444534,2759449,595973,-462066,-1041691,-82684,0
40.1167,3355,1119940,2556776,908485,-320311,-1049848,-282771,0
40.6889,3239,1129554,2454334,772480,-335585,-942681,-205523,0
41.2556,3160,1352064,2423500,407754,-624513,-929578,-83156,0
41.8778,3254,1477031,2671366,462924,-614554,-1086328,-151156,0
42.5000,3263,1460254,2666251,498062,-647974,-1084557,-159643,0
43.1083,3201,1308168,2576208,654187,-501691,-1037293,-196205,0
43.6778,3084,1420831,2378074,230632,-618382,-851228,23364,0
44.2389,3181,1396168,2413915,429689,-608165,-922400,-103498,0
44.8222,3292,1539440,2594321,424195,-707231,-1086663,-190175,0
45.4083,2905,1383789,2543794,588429,-774649,-1122291,-397190,0
45.9944,2894,1321962,2691883,649004,-370175,-1055382,9697,0
46.5528,3360,1069048,2419907,879692,-237666,-885883,-290382,0
47.1083,3334,1362952,2484956,594549,-532928,-1016220,-194306,0
47.6722,3290,1181197,2718147,891405,-271558,-1162920,-364538,0
48.2417,3229,1460034,2621835,652026,-614782,-1103978,-280823,0
48.8194,3091,1201248,2539340,809211,-300272,-1003750,-219537,0
49.3667,3209,1373502,2443575,409702,-565923,-905764,-61301,0
49.9083,3222,1178972,2453486,808075,-380596,-1045582,-292687,0
50.4194,3335,1379273,2642484,711339,-552132,-1164218,-333432,0
50.9278,3337,1585383,2768518,514462,-695082,-1168255,-216417,0
51.4833,3269,1358937,2687668,684170,-548889,-1120543,-225094,0
52.0833,3245,1226513,2646416,769293,-418688,-1071140,-243848,0
52.6556,3194,1290120,2501597,557698,-481053,-957285,-123426,0
53.2139,3148,1124195,2425900,729887,-377118,-957433,-165611,0
53.7889,3190,1238920,2627756,805310,-355958,-1110187,-240374,0
54.3722,3251,1208962,2694431,902198,-335006,-1118026,-341112,0
54.9472,3243,1361977,2675140,661995,-541276,-1082385,-213916,0
55.5333,3313,1368642,2533529,698749,-495222,-995572,-121621,0
56.0861,3158,1193491,2450526,698796,-365025,-930542,-159422,0
56.6361,3176,1384493,2407892,488660,-726814,-975806,-247703,0
57.2028,3133,1565577,2597247,306296,-759312,-1054513,-132093,0
57.7861,3181,1332168,2710722,863598,-389822,-1146291,-319784,0
58.3917,3322,1432852,2661674,479470,-623872,-1010195,-113098,0
58.9472,3137,1172112,2443504,749006,-367698,-955817,-188712,0
