Tiempo(s),Amplitud,C0,C1,C2,C3,C4,C5,Clase
0.1250,1877,3343524,-2339073,-929940,271753,-735491,353,0
0.7278,3374,3149547,-2194018,-756459,122112,-702675,-97061,0
1.4583,3362,3450800,-1956433,-1239867,452406,-619563,-346972,0
2.2222,3373,3553050,-1849579,-1298735,400240,-615818,-211460,0
3.0333,3376,3363715,-2304086,-1009678,387249,-700395,-180248,0
3.8806,3368,3067525,-2475104,-605787,179711,-753039,-132714,0
4.6750,3373,3512604,-1852669,-1204242,353946,-607058,-304409,0
5.4944,3366,3359287,-2371337,-836179,400052,-725256,-202647,0
6.3056,3372,3378566,-2506277,-785014,385683,-766325,-223513,0
7.1250,3365,3360650,-1773278,-1301171,389511,-541273,-259824,0
7.9444,3378,3514263,-1790340,-1289759,437387,-592200,-136575,0
8.7722,3370,2118148,3249740,1183388,252724,-778713,-346828,0
9.6167,3380,3287083,-2262804,-906285,286712,-707195,-103701,0
10.4083,3368,3280602,-2201057,-931829,461009,-719978,-282131,0
11.2000,3377,3381189,-2242654,-1032642,430776,-658411,-258772,0
12.0083,3372,3406863,-2297922,-953741,343018,-679191,-125272,0
12.8500,3372,3147451,-2518779,-697415,312697,-813067,-172867,0
13.6639,3370,3259852,-2120484,-999147,334691,-706844,-240546,0
14.4583,3369,3366987,-2266915,-957622,396094,-708205,-270409,0
15.2722,3373,3567143,-2013675,-1201324,414061,-620344,-164059,0
16.1056,3371,3545421,-1877145,-1259330,357909,-590852,-232013,0
16.8778,3366,3185537,-2340954,-738760,432415,-701576,-227839,0
17.6528,3369,3385269,-2329908,-953825,416722,-693367,-226495,0
18.4639,3371,3279547,-2549298,-728398,309228,-788076,-135633,0
19.2611,3225,3801837,-1427160,-1711875,352073,-295488,-591583,0
19.7583,3068,2698184,3740893,897027,101898,-1104321,26823,0
20.5806,3359,3698042,-2496204,-1174582,331947,-619921,-704298,0
21.4028,3358,3641085,-1736424,-1387479,847185,-518871,-175706,0
22.2194,3385,2047475,-2549008,208343,-751233,-10173,-230090,1
23.0667,3378,2931611,-2534053,-442761,156531,-730188,-23273,0
23.8944,3366,3564057,-1999196,-1248295,442403,-606776,-282393,0
24.7417,3371,3139268,-2549985,-597623,307823,-758957,-117948,0
25.6083,3371,3029840,-2405700,-561978,83448,-659442,-3075,0
26.4472,3364,3488255,-1889989,-1246434,349494,-594725,-224835,0
27.2833,3369,3333964,-2353808,-902397,391582,-691090,-157037,0
28.1472,3383,2994798,-2403858,-580372,206176,-700506,49269,0
28.9528,3371,3138748,-2452273,-633872,166366,-695767,-210457,0
29.7389,3367,3493019,-2275888,-1053129,487969,-669968,-370416,0
30.5639,3363,3374298,-2278602,-939229,405273,-710823,-200890,0
31.3944,3375,3000078,-2370568,-546649,-5965,-709652,74394,0
32.1750,3374,3264695,-2110932,-917808,223113,-639669,-166830,0
32.9333,3362,3511252,-2293420,-1076199,630401,-727828,-337225,0
33.7639,3372,3380412,-2323005,-859373,428577,-708439,-59338,0
34.6222,3385,2807900,-2645194,-242925,-45148,-641191,44696,0
35.4083,3371,3224865,-2386666,-811378,389776,-748876,-178409,0
36.2028,3367,3479688,-2268082,-1021711,563046,-702844,-210285,0
37.0722,3371,3194663,-2529529,-756940,321143,-725262,-108087,0
37.9194,3374,3052886,-2387656,-699961,277732,-699598,-78178,0
38.6833,3367,3532097,-1933908,-1188789,477623,-603780,-234454,0
39.4722,3376,3591402,-1849806,-1260518,396027,-644824,-197631,0
40.3028,3382,2783239,-2735340,-165213,-44346,-639119,70036,0
41.0806,3369,3379132,-2204601,-969254,402391,-688219,-254588,0
41.8583,3368,3324955,-2531122,-817307,453250,-810077,-193480,0
42.6806,3371,3292820,-2551328,-787720,355996,-780366,-246304,0
43.5028,3370,3119080,-2454647,-677338,277617,-749954,-173747,0
44.2833,3366,3654635,-1742803,-1453552,353697,-524481,-264584,0
45.0944,3375,3506628,-1988371,-1121669,359142,-616894,-104779,0
45.9417,3372,3307794,-2136197,-1054832,298315,-664334,-71213,0
46.7278,3371,3221107,-2256028,-780960,367779,-722615,-168042,0
47.5167,3368,3482063,-1985980,-1170130,487319,-647502,-264865,0
48.3250,3375,3288669,-2423825,-794618,414845,-703895,-78687,0
49.1000,3367,2085062,3060553,1110001,216965,-713088,-357337,0
49.8500,3366,3367249,-2242290,-939353,420112,-721989,-197074,0
50.6472,3370,3524125,-1836062,-1254722,408928,-591450,-189349,0
51.4833,3368,3451368,-2219021,-1146601,515439,-638891,-338995,0
52.3222,3365,3332406,-1837640,-1159394,331713,-621340,-131442,0
53.0944,3357,3604628,-1910857,-1364923,520508,-576036,-447436,0
53.8944,3366,3600844,-1904289,-1267956,575056,-597993,-263551,0
54.7194,3372,3308497,-2468203,-833473,375853,-785937,-209121,0
55.5222,3380,1667574,3048017,1398972,558488,-437555,-230446,0
56.3139,3372,3287591,-2328182,-901906,421431,-765507,-236674,0
57.1583,3373,3482738,-2157527,-1078385,413790,-663230,-133554,0
58.0222,3374,3211749,-2121922,-916944,272671,-691810,-118523,0
58.8167,3351,3667200,-1623337,-1728727,429037,-421453,-549492,0
59.6472,3381,3422793,-2148053,-975552,276767,-693929,-59580,0
60.5056,3376,3384891,-2052691,-1111783,428005,-683899,-131876,0
