Tiempo(s),Amplitud,C0,C1,C2,C3,C4,C5,Clase
0.1333,2714,1434225,-2368544,-2018663,62007,-307857,-493073,0
1.0028,2762,1070023,-2657222,-1462824,122182,-531120,-352356,1
1.9389,2566,942622,1558032,812786,-183311,-1127161,-865755,0
2.7972,2466,789159,1505742,808280,54376,-876158,-620727,0
3.4889,2535,1124784,-2055417,-1297121,17621,-631319,-222515,1
4.1889,2667,1398032,-2311643,-1838884,-15730,-447113,-434177,1
4.9972,2693,1524756,2029022,837988,-393906,-1465958,-861234,0
5.8000,2543,974050,1727176,691727,-147620,-1064319,-628277,0
6.5306,2560,1049738,1675286,732115,-280536,-1118715,-741876,0
7.2500,2514,1122814,1709808,693947,-349610,-1196544,-789332,0
8.0000,2773,1243861,-2921400,-1699534,187155,-448509,-333902,0
8.8000,2801,1119534,-2786381,-1475827,130181,-588505,-511224,1
9.6056,2743,1246062,1857255,629736,-634232,-1487284,-890674,0
10.3917,2792,1520636,-2274685,-1671976,23751,-573862,-562795,1
11.1611,2760,1430307,-2372265,-1666033,81102,-600264,-521699,1
11.9083,2742,1372991,-2546040,-1629700,89522,-627499,-513880,1
12.6639,2691,1459189,-2363778,-1580036,43349,-559200,-444449,1
13.4028,2516,1077990,1647277,692110,-267504,-1018823,-605681,0
14.1583,2615,1231941,-2284703,-1282910,-32943,-654935,-332800,1
15.0750,2690,1263388,-2432997,-1302896,90228,-581049,-367543,1
16.0611,2760,1328894,1819480,725028,-535761,-1407243,-966798,0
17.0556,2738,1353114,-2395327,-1506064,75737,-599444,-464435,1
18.0250,2500,991019,1632594,921066,91505,-840616,-515321,0
18.7500,2600,1068565,1610929,764844,-229546,-912565,-621498,0
19.4667,2630,1144351,-2432786,-1382797,73237,-534072,-285504,1
20.2833,2747,1241576,-2741892,-1390781,71488,-582584,-408453,1
21.0972,2666,1195747,1690866,603062,-594771,-1456827,-950335,0
21.8083,2620,1164573,-2297341,-1603239,-49408,-511201,-484788,1
22.5111,2606,968986,-2491665,-1367346,83518,-614588,-481332,1
23.2167,2465,931994,1603161,859753,-54394,-942427,-662414,0
23.8639,2666,1186389,-2549004,-1656185,137054,-523493,-412052,1
24.5222,2729,1407890,-2409807,-1982242,-56745,-380402,-494334,1
25.2556,2715,1414378,-2364470,-1864971,-72422,-452607,-540884,1
26.0806,2708,1260742,1760482,749399,-530664,-1441466,-979962,0
26.8750,2558,953795,1622501,908185,81247,-902661,-701728,0
27.5833,2547,1186765,-2149132,-1173839,-20955,-677266,-295334,1
28.2778,2735,1403629,-2578672,-1770870,62793,-416776,-449001,0
29.1444,2726,1316250,-2397537,-1723079,-6274,-472719,-527773,1
30.0444,2757,1276655,-2437502,-1578465,48883,-569024,-505196,1
30.8806,2517,927585,1605441,921741,-12632,-962360,-724470,0
31.5861,2501,1089487,1633135,707342,-183410,-986048,-607674,0
32.2444,2725,1063787,-2864228,-1415763,247187,-550415,-362317,1
32.9361,2752,1210401,-2887373,-1576681,195750,-505658,-359615,1
33.7111,2745,1420803,-2432106,-1692252,487,-532491,-509561,1
34.4889,2720,1100494,-2640563,-1504960,94945,-633603,-446038,1
35.1583,2695,1318370,-2384885,-1870014,2965,-452830,-520110,1
35.7667,2534,1130785,1667090,664543,-387917,-1112905,-736229,0
36.3556,2382,1077883,1619021,603264,-237743,-1009041,-617216,0
36.9417,2621,1166731,-2314146,-1379342,19493,-617602,-258553,1
37.5583,2772,1507321,-2504886,-2054639,4055,-287260,-496948,0
38.2528,2701,1351069,-2477362,-1899409,59395,-424059,-458171,1
39.0056,2521,1072033,1630482,715583,-315963,-1128597,-755314,0
39.7278,2514,881155,1616376,942685,159395,-836073,-603672,0
40.3972,2677,1242359,-2461113,-1566252,18013,-490009,-385640,1
41.0722,2760,1172341,-2980601,-1716532,245500,-482229,-402956,0
41.7694,2797,1451342,-2611673,-1995316,66192,-416475,-363644,0
42.4722,2774,1322858,-2497148,-1797386,43298,-440964,-455755,1
43.1750,2585,1199141,1663107,455359,-538160,-1184946,-670253,0
43.8167,2543,1049786,1693793,762166,-125796,-1019218,-662464,0
44.4278,2729,1506809,-2365092,-1839612,6660,-437822,-400026,0
45.0361,2861,1372810,-2820615,-1549150,335413,-487030,-344850,0
45.6861,2784,1540934,-2329454,-1937896,-52729,-420039,-528822,1
46.3778,2626,1229044,-2391685,-1751497,11317,-516605,-510072,1
47.1333,2677,1133258,-2492683,-1437738,21126,-630779,-479253,1
