Tiempo(s),Amplitud,C0,C1,C2,C3,C4,C5,Clase
0.7806,3370,2735370,-2587989,-939227,1021002,-634338,7168,0
1.7083,3375,2707283,-2689246,-848977,1119872,-697373,34843,0
2.7222,3378,2991628,-2413846,-1226894,1251968,-602310,35045,0
3.7472,3377,2868208,-2579704,-1059476,1081552,-618820,102309,0
4.7833,3389,2999734,-2499650,-1042993,1088051,-607472,169680,0
5.7833,3383,2740992,-2690838,-1032474,1195968,-676681,102648,0
6.8417,3381,3039076,-2165092,-1587762,1115584,-448838,128568,0
7.9306,3366,2625597,-2475098,-1580653,1281376,-559090,-114917,0
9.0083,3370,3009656,-2101850,-1621368,1083186,-463593,138076,0
10.1333,3382,2793116,-2584707,-1081431,1165270,-656475,51893,0
11.1583,3368,2769461,-2547791,-1186739,1175470,-509225,67332,0
12.1778,3372,2815212,-2536652,-1125553,1198987,-583599,47058,0
13.2833,3382,2824855,-2638025,-980907,1073002,-669323,55579,0
14.4139,3369,2973107,-2092725,-1633885,1011254,-398153,35059,0
15.3972,3376,2871154,-2599677,-937874,1089838,-727472,132498,0
16.4583,3377,3078059,-2310364,-1312599,1027591,-615991,114214,0
17.5556,3374,3011465,-2167962,-1414501,1112510,-548075,209664,0
18.6389,3377,3085453,-2184018,-1474862,1038303,-466809,116593,0
19.6944,3378,2935265,-2202558,-1533230,1039880,-450851,132959,0
20.7500,3376,2994949,-2375440,-1271219,1090540,-580575,103467,0
21.8556,3380,2886088,-2667070,-1006583,1125104,-677871,41611,0
22.9083,3378,3143872,-2033154,-1706285,1127735,-409839,161411,0
23.9833,3384,2682210,-2748720,-847815,1135904,-721713,101422,0
24.9639,3380,2723875,-2731274,-947344,1105304,-625255,-40730,0
25.9583,3381,2989960,-2396233,-1328301,1109620,-589619,107483,0
27.0611,3371,3022730,-2618923,-1213505,1163320,-627493,-72623,0
28.1306,3370,2959737,-2515432,-1140250,1232000,-640711,93446,0
29.1944,3380,2764120,-2641969,-1038013,1166014,-598177,39235,0
30.2278,3380,2881804,-2507287,-1328681,816500,-615478,23096,0
31.2528,3374,2968425,-2169947,-1496965,1027969,-510739,141303,0
32.2056,3373,2932164,-2380241,-1470831,1168760,-529002,46178,0
33.2417,3376,3092475,-2166244,-1517524,1101152,-447360,118191,0
34.2278,3377,2634289,-2748171,-878004,1148313,-630022,-5555,0
35.2861,3381,2800253,-2647740,-1016040,1157933,-625183,61249,0
36.3500,3373,3031786,-2153101,-1531242,1062312,-517583,186240,0
37.3944,3373,2983560,-2158650,-1503514,1032895,-401806,101972,0
38.4556,3376,2875971,-2620305,-1021960,1172427,-617662,104250,0
39.5111,3373,2933924,-2311435,-1506859,1039764,-431226,70215,0
40.5722,3381,2913701,-2487643,-1100636,1150049,-616427,104681,0
41.6222,3378,2945708,-2283333,-1446803,1044275,-449526,124722,0
42.5750,3374,2967078,-2425438,-1312120,1098052,-557856,130791,0
43.6472,3377,3112009,-2289675,-1412543,1219163,-446390,82454,0
44.6944,3368,2680915,-2706539,-897463,1147187,-639291,78600,0
45.7472,3381,3039326,-2258752,-1222664,978725,-601729,196459,0
46.7917,3368,2985028,-2143464,-1698261,1073494,-378324,160058,0
47.7361,3384,3066817,-2828963,-728577,901323,-795706,315117,0
48.6472,3376,3227228,-2457809,-1260773,1123160,-541100,218686,0
49.5250,3380,2919511,-2844375,-683146,1185038,-821678,320939,0
50.3778,3379,2848851,-2603042,-1089456,1118074,-595488,96009,0
51.1750,3386,3059329,-2476951,-1279239,1035492,-604895,246870,0
52.0583,3376,2826467,-2806336,-864298,1135116,-686072,149015,0
52.9250,3387,3069821,-2190884,-1589616,1092928,-389212,146657,0
53.7722,3375,3037187,-2167345,-1705577,1166982,-383489,90765,0
54.5667,3384,2778322,-2719281,-1146051,1297028,-501941,-47933,0
55.2278,3374,2932571,-2665231,-1330342,1232175,-584439,83389,0
55.8444,3389,3068211,-2553795,-1245130,1238952,-584336,128375,0
56.4556,3370,3030493,-2018354,-1866988,1139770,-332645,182334,0
57.0694,3385,3169572,-2341804,-1338894,1065439,-537192,317558,0
57.7667,3374,3106508,-2651737,-712686,1234196,-629591,313854,0
58.5861,3388,3052244,-2436728,-1270414,1351153,-669809,123259,0
59.4333,3382,2673714,-2505787,-1543460,1609101,-691037,317767,0
60.2583,3373,2791955,-2483399,-1268341,1260383,-496758,147079,0
