Tiempo(s),Amplitud,C0,C1,C2,C3,C4,C5,Clase
0.6694,3385,2351939,-4492266,-1101831,-147497,-532181,175256,0
2.0194,3374,2918992,-3231034,-2265332,-266749,-1002850,-310835,1
3.3500,3375,2813776,-3429239,-2247674,-119833,-791919,-86869,0
4.7028,3379,2443675,-4094203,-1929036,8125,-739113,42919,0
6.0417,3376,2875722,-3386874,-2373220,-161990,-912443,-277789,0
7.3722,3373,2843504,-3272116,-2097295,-184383,-1006407,-233075,0
8.7056,3377,2334657,-4289064,-1764321,8956,-607515,-9236,0
10.0583,3380,2385676,-4530997,-1458348,-240810,-470672,174316,0
11.3889,3374,2631427,-3850422,-1829283,-220538,-915944,-262000,1
12.6694,3376,2681272,-3533637,-2097964,-87960,-811634,-93899,0
14.0056,3377,2655251,-3762100,-2286099,-43265,-767562,61816,0
15.3389,3368,2619995,-3819619,-1982153,-16189,-988745,-164112,0
16.6556,3378,2538170,-3766326,-1970883,-113023,-834977,131406,0
18.0028,3381,2402595,-4392219,-1765453,-102455,-576128,107812,0
19.3361,3379,2839255,-3471953,-2206681,-180760,-961927,-264559,0
20.6250,3380,2833330,-3222571,-2157217,-73443,-954335,-143201,0
21.9556,3369,2410393,-4173103,-1733934,193226,-769658,91449,0
23.3028,3376,2502989,-4179189,-1552076,-183066,-799987,-123361,0
24.6111,3388,2704250,-3603793,-2140740,-117648,-824310,69505,0
25.9583,3375,2699923,-3948428,-2074521,-254593,-633472,65914,0
27.2833,3378,2981750,-3059788,-2317305,-131158,-974580,-234760,0
28.5917,3378,2580082,-3747944,-1929134,31930,-852416,-30118,0
29.8667,3372,2351353,-4153431,-1649854,222430,-810229,74521,0
31.1000,3370,2812361,-3329734,-2028138,35247,-1056105,-350550,0
32.3889,3375,2597052,-3540993,-1888674,-80711,-862877,-29160,0
33.7278,3374,2967072,-3653945,-1883374,-133069,-698843,278912,0
35.0583,3379,2835306,-3871287,-1445378,-231133,-865245,108654,0
36.3583,3373,2469986,-3982024,-1837603,-178566,-762221,-68438,0
37.6694,3377,2588477,-3846770,-1970432,44738,-879131,-104247,0
38.9278,3376,2949006,-3085856,-2230847,-128398,-981242,-298661,0
40.2139,3374,2592626,-3659467,-1972185,-59158,-822157,-6351,0
41.5222,3374,2583281,-3877732,-1838781,-17191,-961127,-105089,0
42.8222,3376,2234762,-4141810,-1460514,20758,-819093,36278,0
44.1528,3372,2372800,-4152985,-1850624,62466,-811035,24593,0
45.4278,3370,2962762,-3147950,-2272911,-104805,-1027216,-402107,0
46.6083,3375,2616923,-3681285,-2047794,-34699,-867923,-46738,0
47.8306,3367,2721884,-3634913,-2130635,30153,-949381,-221371,0
49.0083,3372,3077789,-2905378,-2301365,-202161,-1017883,-336632,0
50.1667,3383,2662135,-3773379,-2114504,6893,-823718,-67968,0
51.3194,3367,2747826,-3553312,-2023747,60467,-1044832,-343803,0
52.4056,3370,2363027,-3846536,-1496559,28706,-915920,-30399,0
53.5167,3371,2888516,-3346935,-2435342,-90697,-841205,-108700,0
54.6528,3361,3062856,-2922792,-2375636,-146782,-1008475,-398176,0
55.7111,3373,2668315,-3538141,-1837915,-9911,-1038049,-148367,0
56.8333,3370,2872584,-3456921,-2313916,-49199,-845762,-50469,0
57.9889,3369,2816890,-3365750,-2203103,44433,-964078,-341763,0
59.0722,3372,2646583,-3507922,-1863427,-8067,-959724,-113691,0
60.2222,3379,2713269,-3543047,-2026613,65507,-918318,-147126,0
61.4306,3373,2706031,-3563012,-2022341,8262,-888832,-121467,0
62.6083,3369,2858873,-3317041,-2342268,-72651,-863939,-75995,0
63.7639,3371,2950937,-3050224,-2194674,-17548,-1038135,-387548,0
64.8528,3373,2649953,-3421586,-1869883,-39031,-953851,-95938,0
66.1083,3375,2736187,-3579606,-2214200,46333,-803352,-81668,0
67.3750,3372,2697376,-3456423,-1956969,73232,-989561,-259000,0
68.6194,3376,2814655,-3340173,-2404478,-116548,-812541,-91319,0
