Tiempo(s),Amplitud,C0,C1,C2,C3,C4,C5,Clase
0.2778,2117,598331,671328,55022,-204878,-705438,-408478,0
0.8639,2202,556585,688725,-26244,-207518,-690778,-240026,0
1.6250,2250,469509,-914173,-862045,-206034,152600,-185485,0
2.4472,2229,670893,-852665,-859733,-9395,62350,21173,0
3.2694,2262,474962,639534,30296,-574435,-844732,-500885,1
4.0639,2080,363224,628309,138132,-174663,-567391,-344891,0
4.7806,2163,379792,723490,134595,-196634,-686143,-316460,0
5.5139,2165,604803,-797305,-757092,-29202,35965,58657,0
6.2500,2201,382034,657346,197194,-207613,-629700,-391233,0
6.9861,2136,383322,612468,123369,-296686,-540432,-288707,0
7.6306,2153,399696,654075,68250,-432686,-546811,-215739,1
8.2389,2112,265218,599162,228368,-212254,-532288,-284359,0
8.8444,2155,513278,638351,19514,-396352,-681011,-198940,1
9.4389,2314,723501,-662355,-895869,-78163,-38997,-62772,0
10.1667,2177,680547,-820235,-911582,-183494,57390,104382,0
10.9722,2240,706638,-659201,-975560,-143148,35272,-18441,0
11.9444,2163,467437,487671,18069,-360305,-667981,-216751,1
12.8722,2289,620266,753172,18267,-431610,-659130,-304055,0
13.6611,2244,420577,750012,-77745,-402769,-623120,-340400,1
14.3639,2141,280129,477186,236598,-495469,-638922,-205843,1
15.0139,2155,540111,620771,-75466,-420729,-764615,-265252,1
15.6306,2091,410658,427300,23952,-458262,-848755,-206765,1
16.2222,2136,331727,514538,-6237,-600685,-591095,-281982,1
16.8111,2084,276126,574555,128827,-233709,-675139,-306214,1
17.4333,2071,267328,474828,191594,-296028,-464011,-171218,1
18.0389,1956,-159255,-786802,130253,77909,220164,170809,0
18.6194,2161,391948,613337,188921,-241244,-528062,-216720,0
19.1944,2087,557212,-435855,-715943,-198144,-122629,-107365,1
19.7667,2069,520219,-586338,-650301,-379236,-14931,-17840,1
20.3528,2091,526894,-552670,-755664,-164877,-77647,3657,0
20.9583,2125,511017,-716911,-772339,-208096,-29226,-71460,0
21.5778,2193,651095,-482898,-772763,-99544,-103750,-91626,0
22.2000,2138,347748,668521,182624,-306890,-631204,-237374,1
22.8250,2111,247642,571030,216794,-394735,-520394,-292019,1
