Tiempo(s),Amplitud,C0,C1,C2,C3,C4,C5,Clase
44.6500,3063,2265940,-1815145,-1541170,888909,-60355,-140837,0
45.1556,3217,2544609,-1636293,-1864235,809644,-16338,3734,0
45.6278,3323,2607900,-2009898,-1670807,971254,-150552,-79207,0
46.0861,3283,2403582,-1868828,-1648782,1194193,-168946,-179212,0
46.5500,3208,2413101,-1526716,-1864855,1036043,-32008,-121088,0
47.0194,3174,2351558,-1512967,-1779871,1035532,-14753,-70876,0
47.4806,3183,2317959,-1632634,-1703866,1105682,-113510,-141649,0
47.9333,3099,2193724,-1399049,-1752749,917519,13610,-64228,0
48.3889,3080,2163871,-1733614,-1483555,1037376,-68356,-91689,0
48.8361,3261,2386434,-1507938,-1822964,885387,19618,-48152,0
49.2889,3141,2282342,-1471584,-1765512,1006819,-65223,-67882,0
49.7361,3104,2248438,-1275945,-1858808,917326,68130,5583,0
50.1750,3194,2166503,-1916063,-1373824,1237165,-237993,-196322,0
51.0667,3253,2301457,-1821254,-1626389,1207269,-173335,-166933,0
51.9500,3093,2108901,-1645834,-1534469,1164514,-124902,-211884,0
52.4111,3154,2334253,-1356339,-1846405,902214,-2321,-87023,0
52.9778,3035,2070095,-1649111,-1434671,828432,1452,-133874,0
53.5667,3151,2164918,-1628435,-1573396,835484,26679,-120637,0
54.1611,3116,2130190,-1720012,-1523372,814239,17422,-128083,0
54.7472,2989,2041803,-1606854,-1449289,823792,9408,-146602,0
55.3694,2968,2143283,-1524020,-1574520,661264,54541,-63231,0
56.0139,3004,2096808,-1647489,-1432224,812812,36517,-59082,0
56.6250,3193,2201703,-1843205,-1424940,767274,-27404,-215514,0
57.2333,2663,2026034,-1917810,-1209402,984618,-113834,-123286,0
57.8250,3346,2112387,-2068128,-1130263,1023617,-195735,-176877,0
58.4056,3346,2331465,-1785341,-1554127,814912,-52965,-41024,0
58.9528,3350,2262774,-2185418,-1292962,1043023,-246994,-237018,0
59.4944,3305,2396620,-2096011,-1344157,1001775,-133550,-249879,0
60.0389,3106,2373805,-1762719,-1645179,893161,-77295,-125778,0
60.5583,3140,2390754,-1839507,-1628448,1010468,-102751,-130006,0
61.0722,3127,2357891,-1728437,-1654893,1009284,-81288,-110583,0
61.5861,3123,2282926,-1639718,-1669879,928868,-54683,-105876,0
62.0833,3047,2266042,-1523341,-1656855,884051,-63695,-42703,0
62.5611,3024,2247356,-1305061,-1813563,897260,-19111,-55727,0
63.0222,3019,2012475,-1649123,-1387918,1096125,-143640,-144720,0
63.4722,3199,2168635,-1557184,-1619258,958145,-22159,-102197,0
