Tiempo(s),Amplitud,C0,C1,C2,C3,C4,C5,Clase
2.2417,2441,-382341,-2599516,-2153769,282647,-629407,-291595,1
3.0139,2519,62984,947098,660907,-757395,-1396725,-1136970,1
3.7889,2426,38288,911113,662944,-731838,-1150971,-986038,1
4.5556,2611,-430227,-2457344,-2114272,212152,-513274,-353609,1
5.3389,2379,86910,1012151,531219,-843111,-1198410,-870386,1
6.1194,2414,-151961,-2564462,-2256796,195540,-636916,-434575,1
6.9194,2456,77450,953882,812134,-480344,-1121195,-1018810,1
7.7278,2654,342868,1629985,704070,-941355,-1647919,-1152208,1
8.5528,2381,281696,943546,818177,-410605,-954279,-832377,0
9.3611,2603,-15810,-2570392,-2418768,-54802,-421806,-480098,1
10.1972,2498,263696,1062224,534933,-828116,-1047853,-889884,1
11.0333,2499,261957,-2609984,-2395983,655,-622090,-567436,1
11.8667,2495,126610,1027432,819876,-513133,-1200813,-1054923,1
12.7056,2330,410089,1334796,477069,-1224090,-1762175,-1401550,1
13.5556,2520,317640,1139217,729058,-714949,-1078935,-950169,1
14.3861,3387,1072722,2218847,1413415,1031318,-858231,134053,0
15.2694,2274,597611,1346435,478629,-1088341,-1498617,-1135454,1
15.6778,2478,369341,-2064182,-1647760,-215778,-1027475,-349679,1
16.0917,2522,-2995898,1428273,107206,-342822,1493978,-796231,0
16.9972,2521,565988,1357927,698066,-888978,-1508842,-1235919,1
17.4194,2435,801146,-1534561,-1790699,-490942,-964181,-807408,1
18.3194,2443,285774,-2953068,-1944105,53103,-867352,-399307,1
19.2306,2523,363470,1124480,873825,-297443,-966476,-887892,0
19.6333,2512,527140,-1953266,-1921622,-332816,-875287,-556963,1
20.5250,2440,375286,-2888653,-1989902,36154,-849019,-437331,1
21.4111,2410,416487,1204473,685724,-581343,-956726,-691567,0
22.2778,2370,472722,-2760144,-2434667,25606,-727426,-557690,1
23.1583,2479,363125,1176786,753005,-503857,-970816,-829545,0
23.5694,2471,-428828,-3089621,-904273,89125,-1024314,156738,1
23.9833,2428,-2311509,2313046,-982119,1027813,289794,-189855,0
24.9000,2500,393026,1154633,866401,-352505,-972722,-846297,0
25.3222,2543,569239,-1994379,-1674342,-367905,-1054303,-463509,1
25.7444,2412,-2795122,1961747,-558676,325870,1042693,-904491,0
26.1944,2491,-1885484,2308078,-1248475,1479017,-271305,573007,1
26.6139,2454,-1438917,1993427,-1219752,1552233,-440135,823442,0
27.0444,2419,-859668,1716591,-1180216,1747531,-904764,1496696,0
27.4778,2274,997204,880330,831415,1025344,621763,1052929,0
27.9083,2386,1229193,895123,759862,876318,585223,879898,0
28.3611,2548,1258580,856904,773695,795283,522440,778259,1
29.2778,2395,307244,-3064429,-1673522,-94065,-884952,-485551,1
29.5556,2445,-4133,-3506975,-1250209,114880,-1024691,-230149,1
30.1750,2441,607557,-2609827,-1682292,-308998,-859291,-544583,1
30.6472,2438,921137,-1526028,-1767337,-485406,-951120,-765668,1
31.0806,2504,639923,-2134579,-1819947,-467320,-886775,-664627,1
31.5306,2446,566698,-3116439,-2075270,-167398,-717614,-629298,1
32.0083,2426,585995,-2825276,-1599741,-372714,-876700,-557580,1
