Tiempo(s),Amplitud,C0,C1,C2,C3,C4,C5,Clase
0.1222,2202,189126,-458059,-378572,619196,610216,-35884,1
0.8944,2143,-45968,-574240,-458738,416062,640301,1182,1
1.5556,2143,48509,-663326,-381983,310246,689571,155367,1
2.1667,2215,146806,-626702,-582528,251677,652755,254579,0
2.7972,2411,435283,-595916,-650487,452301,649525,46536,1
3.8611,2409,485021,703302,-37795,-528133,-575623,92333,1
4.7611,2172,18903,-451349,-358911,537538,644698,39683,1
5.5306,2099,5844,-581908,-507378,260034,569228,206073,0
6.1972,2234,233165,-576822,-604812,325117,602656,233819,1
6.9083,2347,297772,-689864,-580414,485725,522543,-41141,1
7.7778,2377,546230,-445840,-679271,316607,567940,72153,1
8.6306,2088,-50909,-454110,-399918,446253,610509,86790,1
9.3306,2168,89574,-581832,-561245,291725,660868,261022,0
10.0250,2429,448433,-671220,-697806,404141,603667,-38985,1
10.7528,2365,440951,-505523,-675792,336130,600480,29987,1
11.5806,2236,168617,-525060,-500735,557553,591089,-34278,1
12.3417,2117,-76327,-554349,-443878,447668,659156,99490,1
13.0139,2146,9564,-644584,-552949,347282,691132,220992,1
13.6889,2403,397847,-599032,-780916,210674,657658,259125,0
14.4111,2410,454070,480842,-378013,-699287,-466434,370769,1
15.2306,2170,67125,-541757,-448441,557872,594587,15293,1
16.0056,2308,304969,-564574,-593355,417973,624224,51792,1
16.7444,2239,165273,-597653,-560670,481687,688754,55508,1
17.4639,2252,138233,-623344,-522776,524101,643155,-6633,1
18.1556,2209,124326,-544838,-610060,491451,673963,102000,1
18.8583,2147,124052,-612045,-607253,368184,706671,172979,1
19.5222,2187,64837,-569844,-598925,465951,665336,79326,1
20.1306,2209,83795,-614186,-624216,456615,721161,167416,1
20.7389,1997,-137730,-626837,-455751,416303,683146,219361,1
21.3861,2099,-165055,-576290,-437539,484371,661415,116417,1
22.0972,2353,481185,-507269,-742802,326567,606335,117328,1
23.0833,2381,489623,-419297,-623839,335582,521055,-15875,1
24.0111,2104,86434,-435847,-562490,282412,649038,196953,1
24.7583,2081,-151089,-562886,-472529,391236,703879,223297,1
25.4667,2453,411917,-661153,-634764,526617,569367,-48981,1
26.2167,2232,227071,-519624,-565825,434578,621791,-9555,1
27.0639,2162,55534,-433785,-490430,392810,668825,111563,1
27.7806,2048,-43866,-459856,-566523,175321,592559,306193,0
28.4556,2432,500587,-618948,-683981,454651,605595,38941,1
29.2083,2358,530429,-441705,-708283,328434,597949,82863,1
30.1361,2175,156703,-451588,-460916,383507,649083,90818,1
30.8972,2368,312784,-614452,-577065,498474,630703,-38463,1
31.7750,2358,471330,-457802,-664267,438056,527319,-39511,1
32.6861,2191,159524,-468138,-521926,373050,624362,145502,1
33.4556,2104,-16579,-628881,-380117,453021,649160,63943,1
34.2056,2479,555383,-618795,-745048,432105,597298,-11675,1
35.0139,2353,446751,371645,-364390,-709047,-442604,321564,1
35.8667,2373,444160,458206,-313429,-646116,-397133,306051,1
36.6667,2097,10147,-543468,-528367,256431,610345,289688,0
37.3667,2620,639476,854428,-163119,-861082,-834420,17239,1
38.0806,2562,626155,851077,-137713,-752177,-787863,62055,1
38.8583,2471,542356,-717713,-727674,533350,613753,-128146,1
39.6444,2398,444769,-491391,-826688,312073,693983,133557,1
40.4139,2190,20063,-596846,-452788,650282,625736,-94754,1
41.1806,2093,-25139,-670593,-604382,483374,651972,21459,1
41.9111,2179,1097,-632580,-571604,456859,726302,103403,1
42.6361,2266,174787,-565284,-529157,365425,689374,78639,1
43.3639,2153,25989,-506346,-549660,460362,634358,176837,1
44.0194,2070,-15111,-532001,-524789,143186,583457,254943,0
44.6528,2303,254057,-657115,-538432,573268,544546,-13962,1
45.3917,2401,518225,-509704,-690796,313166,592685,4155,1
46.3139,2387,495615,-511574,-578174,456968,549646,-150963,1
47.2778,2336,302313,-450160,-475781,526264,562234,-145721,1
48.0500,2119,68159,-424248,-440896,457570,641073,69057,1
48.7028,2153,65560,-618805,-502205,331257,617478,144879,1
49.3556,2426,483567,-575296,-733447,397656,611141,17427,1
50.1056,2288,361611,322679,-302320,-624063,-394596,298874,1
50.9694,2423,607981,-457480,-655733,435321,529472,-65983,1
51.8889,2220,225633,-410327,-530163,325121,637419,140147,1
52.6611,2133,65836,-558054,-387218,466241,658979,78599,1
53.3944,2503,641697,-495728,-762348,366236,581503,-41317,1
54.1639,2284,311927,-590603,-576290,442310,575893,-89203,1
54.9611,2276,262805,-443343,-653593,292788,664873,194787,1
55.7611,2309,426454,-451697,-679522,376082,653141,98788,1
56.5000,2263,238700,-543834,-663019,285655,645189,264335,0
57.2806,2379,553227,-513203,-784400,358597,617559,79777,1
58.1139,2210,35857,-525097,-437610,509890,654730,-85299,1
58.8167,2123,-20853,-575864,-526244,495853,696628,85338,1
59.5333,2440,400901,687995,-63732,-719985,-753614,-742,1
60.2694,2382,404856,-618165,-590503,587591,571955,-132574,1
