Tiempo(s),Amplitud,C0,C1,C2,C3,C4,C5,Clase
0.2472,2427,937932,1530027,726883,-106766,-1019589,-774188,0
0.8750,2432,920461,1594713,729609,-69524,-988435,-688100,0
1.4917,2558,1264553,-2125237,-1437691,-90804,-572733,-324719,1
2.1583,2712,1108568,-2862963,-1439237,73685,-514899,-399459,1
2.9333,2706,1328878,-2423438,-1719909,-72618,-484190,-510056,1
3.7694,2702,1258509,-2348031,-1681255,-12123,-523609,-487099,1
4.5667,2685,1208070,1719007,581551,-596605,-1504004,-980957,0
5.3472,2734,1109062,-2485287,-1528988,93914,-572723,-440473,1
6.1111,2665,1149636,1715555,553532,-465167,-1298648,-786137,0
6.8333,2614,849551,1729172,979519,214253,-900318,-626794,0
7.4889,2484,888511,1602895,928687,129256,-842609,-683419,0
8.1167,2424,908901,1584926,826782,115888,-906880,-658353,0
8.7861,2453,1143422,-2108220,-1238164,-149299,-551391,-260983,1
9.7250,2606,1323080,-2274720,-1362644,-224423,-491673,-391394,1
10.6528,2744,1146398,-2812870,-1387417,17295,-487042,-374609,1
11.5861,2728,1013388,-2741761,-1307917,88330,-508591,-406554,1
12.5028,2708,1219543,-2416725,-1577205,-39462,-515392,-475499,1
13.3861,2684,1253795,1666145,541353,-684601,-1474296,-956051,0
14.2194,2705,1058727,-2627941,-1298396,45632,-648753,-364255,1
14.9806,2704,1084605,-2690410,-1401660,48575,-655540,-448950,1
15.7028,2614,1001940,1707412,906210,-61304,-1056251,-817721,0
16.3583,2546,1218914,-2209995,-1117241,-98148,-713902,-151567,1
16.9778,2491,1145154,-2183371,-1205090,-200396,-653148,-263463,1
17.5889,2500,1363561,-2004828,-1402076,-265411,-583287,-388106,1
18.2722,2529,1285629,-2238902,-1289025,-169723,-569085,-285438,1
19.1194,2636,1206383,-2523495,-1224075,-101087,-593597,-343585,1
20.1056,2780,1255874,-2675517,-1420148,453,-493082,-402799,1
21.1111,2725,1286102,-2456226,-1626578,-116102,-447164,-483675,1
22.1083,2728,1188851,-2541500,-1515869,-53113,-544184,-463497,1
23.0083,2734,1156148,-2601591,-1426863,42694,-604059,-436672,1
23.8750,2744,1281094,1746246,619331,-580396,-1454195,-969955,0
24.7028,2787,1320318,-2356452,-1570317,-81868,-612098,-440389,1
25.4917,2502,1194352,1724677,682876,-278616,-1036137,-672905,0
26.1556,2475,1228876,-2157322,-1169107,-145323,-686389,-192866,1
26.7750,2481,1235598,-2206373,-1144767,-187270,-628850,-247377,1
27.4194,2528,1285649,1613803,590395,-345805,-1194172,-737674,0
28.2500,2649,1208275,-2504586,-1116740,-71887,-584767,-259123,1
29.3139,2770,1301622,-2640192,-1396142,-58622,-518230,-480457,1
30.3389,2725,1289926,-2632442,-1605682,-126919,-448547,-451985,1
31.3139,2700,1239127,-2437776,-1580101,-93534,-508437,-455713,1
32.2083,2712,1328935,-2362685,-1679467,-94887,-510022,-481723,1
33.0306,2712,1223968,-2520480,-1552584,-29743,-565345,-478264,1
33.8000,2726,1250177,-2585851,-1528598,-10586,-594118,-498733,1
34.5417,2724,1371840,-2430909,-1741893,-70267,-529182,-550036,1
35.2833,2690,1361439,-2449525,-1495289,-56532,-614692,-459200,1
35.9750,2542,1093055,1686122,840513,-82561,-1013735,-767697,0
36.6222,2579,1050225,1681672,921593,52798,-1058918,-792770,0
37.2889,2647,1124059,-2666811,-1312021,117977,-565710,-339311,1
38.0722,2716,1407803,-2540695,-1738666,-173185,-479407,-544311,1
39.0500,2746,1271623,-2396270,-1514896,-94902,-535029,-470250,1
39.9722,2712,1324200,1717056,515177,-700819,-1427106,-918491,0
40.8194,2677,1307828,1740587,551251,-621134,-1442507,-835023,0
41.6056,2723,1263321,-2447830,-1355666,24074,-665063,-382143,1
42.3083,2553,1027285,1669161,953053,9849,-1013394,-774143,0
42.9444,2516,1118098,1665387,760727,-121218,-1043689,-704255,0
43.5694,2485,984508,1623580,922352,112397,-912492,-704045,0
44.2250,2884,1158810,-2733444,-1517298,43596,-394105,-491874,1
44.9806,2496,929956,-2296773,-1436594,-290891,-487773,-692399,1
45.7667,2532,1306563,-2212835,-1641356,-296869,-526023,-562028,1
46.4861,2536,1293396,-2155330,-1473991,-110661,-507305,-309610,1
47.1694,2652,1221018,-2311054,-1527640,-65287,-470848,-372903,1
47.9556,2623,1254189,-2424513,-1252997,-106700,-573340,-368845,1
48.8222,2761,1158172,-2765399,-1277333,93543,-607077,-373485,1
49.7056,2779,1099742,-2804363,-1290579,79177,-606224,-380089,1
50.5306,2742,1095693,-2764892,-1354005,82430,-622390,-404847,1
51.2694,2742,1232925,-2663021,-1562847,45251,-626099,-499860,1
51.9722,2739,1309970,1795520,639492,-665567,-1533235,-1055913,0
52.6750,2607,1202591,1727707,658458,-504774,-1335339,-887205,0
53.3194,2532,994545,1696616,908343,26749,-966742,-676315,0
53.9222,2527,1135258,-2243390,-1083111,-112753,-647159,-221990,1
54.5194,2507,1236934,-2248510,-1250586,-147621,-578424,-314805,1
55.1444,2662,1177219,-2617582,-1482294,84255,-486744,-335184,1
55.9194,2648,861181,-3028301,-1228632,57428,-463706,-397002,1
56.7306,2686,991063,-2664031,-1355069,15414,-598121,-408254,1
57.4583,2647,1225815,-2426971,-1734791,-88768,-470603,-484949,1
58.1444,2701,984031,-2755793,-1473488,153698,-534771,-386515,1
58.7917,2717,1324820,-2375884,-1904958,-144950,-417545,-582370,1
59.4250,2652,1143848,-2594955,-1664140,-1088,-496093,-518054,1
