Tiempo(s),Amplitud,C0,C1,C2,C3,C4,C5,Clase
0.5611,2719,1103025,2071589,100181,-275097,-633363,-20205,0
1.4333,3350,2047068,2251811,815074,-474497,-1001688,-288413,0
2.3222,2673,786277,1817475,605278,-168606,-520840,-215809,0
3.1917,3223,1505698,2719006,794213,-213908,-945492,-147560,0
4.0833,3079,1365839,2489780,597992,-322649,-805195,-54971,0
4.9778,3030,1136732,2342279,812970,-209138,-785572,-173070,0
5.8694,2514,691469,2020127,888324,222396,-390734,73222,0
6.7472,3291,1325218,2379765,693640,-390212,-879117,-299882,0
7.6333,2228,826328,2029153,737808,122803,-411019,172832,0
8.5278,2880,990762,2151163,709141,-65312,-673027,-138075,0
8.9611,3232,2506499,-83471,-1182341,617632,-227965,-292290,0
9.4056,3335,2557892,-461896,-1162197,437712,-297860,-515250,0
9.8528,2709,2140715,362759,-990859,84215,-167437,-299810,0
10.2917,2824,2346886,-408048,-1049875,518882,-263574,-416092,0
10.7361,3122,2600640,-393409,-1055825,495923,-463244,-411698,0
11.1917,2737,2238370,-366526,-1110335,173372,-120777,-443146,0
11.6528,2673,1322444,2237461,605896,64745,-506350,-3664,0
12.1194,3021,1377337,2311752,609590,-136703,-646860,-47562,0
12.6111,2838,1079300,2026707,496804,-203713,-630388,-72983,0
13.0806,2903,1308661,2281342,663203,118389,-368661,109730,0
13.5361,3309,1674537,2590285,469133,-234162,-701083,79722,0
14.0056,3356,1255531,2728972,1106673,252941,-699866,-271672,0
14.4806,3151,1533227,2334507,565791,-414226,-686694,-61621,0
14.9556,2906,966914,2247696,817202,211393,-569381,42277,0
15.4194,3285,1107768,2324233,1094367,345619,-361204,46552,0
15.8861,2147,1108056,1841728,152862,-509676,-792711,-75365,0
16.3611,2318,1046304,2146027,566493,9835,-756261,84892,0
16.8306,2695,1213038,1856214,195800,-379578,-596088,47325,0
17.2861,2853,1048466,2105589,695444,66887,-329859,146572,0
17.7278,3347,1635799,2614061,556285,-178256,-660520,99022,0
18.1750,3356,1569261,2775809,812221,-143138,-792342,-97969,0
18.6222,3026,1195614,2138818,595019,-154484,-566471,18941,0
19.0806,2780,1173029,2061126,425244,-71126,-415354,144383,0
19.5250,2913,1104148,2133041,710142,-1784,-519626,38041,0
19.9778,3025,1104040,2182579,690655,-99689,-632102,-156796,0
20.4306,3105,1262805,2384567,753082,-49856,-737285,-88744,0
20.8778,3198,1573029,2354262,466233,-407712,-758452,-23409,0
21.3278,3079,1207178,2133326,645924,-271660,-705113,-84091,0
21.7806,2653,989705,2047412,579096,50979,-347211,163552,0
22.2278,3002,1103870,1932896,552119,-315645,-770421,-203514,0
22.6750,2917,1176506,1664526,167162,-512608,-575002,-21597,0
23.1167,2541,1644648,-178981,-931413,247748,123890,-152659,0
24.0139,3269,1231248,2343870,698182,-24170,-486503,124316,0
24.9000,2495,919750,2163224,773625,192162,-518092,57801,0
25.3250,3167,2881203,-961532,-1295255,837157,-279150,-533718,0
26.2528,3021,1296186,2221857,416445,-283155,-623413,66310,0
26.6972,2810,1039614,1895643,518942,-182230,-505411,26046,0
27.1444,2711,845602,2030758,738362,209687,-393007,118879,0
27.5889,3133,1262877,2211987,620316,-131830,-627615,-12893,0
28.0389,3187,1060397,2220272,721109,38808,-612467,24869,0
28.4972,2971,1011792,2161388,929805,295678,-403765,-24628,0
28.9472,2917,1439352,2120056,287195,-448208,-688961,-27719,0
29.4028,2464,1240823,1755351,120857,-457940,-577905,121004,0
29.8667,2381,948878,1943829,460212,-84219,-489138,96745,0
30.3139,3072,1326237,2399013,693273,125010,-467020,180931,0
30.7611,3208,1526454,2179447,209366,-411235,-687519,117253,0
31.2194,3348,1143048,2309407,970975,177788,-529628,-82275,0
31.6750,2903,1087297,2106023,807691,59048,-462795,-93404,0
32.1306,2549,1160676,1979682,456076,-328337,-694971,-149665,0
32.6000,2505,1201213,2011810,541203,-186106,-714530,-166628,0
33.0861,2617,1132103,2019796,567770,27799,-479861,107264,0
33.5583,3204,1483591,2305505,419227,-248170,-636222,78867,0
34.0444,2942,1374950,1918445,130091,-396092,-646483,15439,0
34.5333,2901,1118401,2190255,730480,128880,-421695,134049,0
35.0194,3136,1473649,2151977,265681,-296320,-599453,60483,0
35.5222,2851,1289010,1892269,218080,-374461,-574490,-36876,0
36.0194,2734,1062050,2071794,752112,168724,-422147,1683,0
36.5083,3150,1307819,2291804,644395,-85530,-661967,-25205,0
37.0083,2841,1385040,2256630,440441,-109634,-558794,-119306,0
37.5000,3148,1457491,2295438,477620,-111914,-512819,87731,0
38.0000,3101,1308436,2381072,629510,-202851,-716015,-147533,0
38.5028,2751,1077210,2090898,774283,70548,-506209,-85057,0
38.9861,2951,1284326,2210700,485191,-93746,-521647,113043,0
39.4722,3234,1468037,2470974,533946,-256698,-705275,-64292,0
39.9583,2990,1388681,2275127,463367,-247357,-618798,10207,0
40.4278,2910,1462419,2182218,230056,-240904,-542359,5155,0
40.8833,2934,1100792,2380017,950247,307428,-446393,70646,0
41.3417,3281,1569305,2475747,564662,-230061,-736765,17444,0
41.8111,3121,1326742,2315521,629639,-196659,-679479,75528,0
42.3000,2778,1126681,2230533,714936,90678,-488250,26352,0
42.7778,3234,1442686,2520851,535835,-138789,-741761,48306,0
43.2694,3150,1353205,2404775,510433,-206530,-726147,16677,0
43.7722,2902,1056644,2231584,779428,145453,-508401,-9343,0
44.2556,3135,1414332,2467646,599581,-88194,-650110,44530,0
