Tiempo(s),Amplitud,C0,C1,C2,C3,C4,C5,Clase
0.0139,2299,534627,-397296,-289127,612330,-15925,421010,0
0.4778,2396,545833,-456321,-403181,149865,117370,60870,0
1.1111,2465,614516,-799812,-260456,307139,69464,-109734,1
1.7722,2491,830957,-879556,-380491,263375,90926,2074,1
2.5194,2696,792795,-881281,-349459,323516,78933,-61599,1
3.2500,2345,705086,-407876,-300482,131989,128061,18534,1
3.9139,2406,649545,-539847,-283416,210344,118510,-62287,1
4.5444,2598,743640,-696570,-406532,84045,129888,-84587,1
5.2139,2483,727045,-922019,-372258,251684,74022,47451,0
5.9972,2423,798864,-1041530,-165242,343687,53590,-55718,1
6.7944,2436,622728,-843731,-451990,247070,86352,-20747,0
7.5000,2376,644610,-489548,-298267,236869,103891,-35783,1
8.1444,2300,608282,-470773,-242804,321981,51948,24849,1
8.7639,2331,626052,-811323,-277833,246842,65110,-97575,1
9.4194,2648,894588,-840242,-276624,411116,49677,119324,1
10.1917,2545,822188,-984531,-320659,189677,64042,-131687,1
10.9944,2372,635312,-876797,-332185,277930,113941,-86858,1
11.7333,2310,649627,-536770,-315020,164350,163780,-87888,1
12.4000,2185,667205,-434426,-331174,208212,102986,15271,1
13.0306,2462,650523,-823902,-233438,257787,76507,-17684,1
13.7000,2497,832856,-977774,-311165,288373,56147,-46004,1
14.4361,2553,843367,-942779,-381220,232016,91906,-72633,1
15.1944,2377,689254,-609889,-386488,203150,138516,22354,1
15.8806,1430,497171,-1032462,-311303,-399256,109963,-540695,1
16.5222,2804,702594,-554275,-170139,453526,135310,85331,1
17.1806,2698,813435,-944189,-418724,273865,101203,-61644,1
17.9278,2498,863913,-868479,-387531,273805,87039,25988,1
18.7139,2083,549502,-655556,-384517,89215,78602,-40285,0
19.4222,2393,624373,-464177,-346004,305218,139278,25063,1
20.1333,2516,848145,-967283,-320260,185131,101413,-124977,1
20.8722,2326,625456,-913856,-342800,351036,60608,3678,1
21.6139,2536,703618,-738949,-308983,429789,117696,101236,1
22.2972,2072,577746,-631076,-186061,112761,100701,-186703,1
22.9389,2693,758361,-646508,-238921,294616,176682,-18771,1
23.6056,2364,823966,-934642,-370379,251739,65664,-101777,1
24.3111,2239,807825,-844185,-397947,341500,81878,70938,1
25.0472,2363,630273,-630336,-248658,364716,99000,-4797,1
25.7194,2341,517771,-545028,-304704,240958,69700,-3298,1
26.3639,2333,582940,-922493,-224227,282448,73266,-97639,1
27.0611,2371,920165,-969451,-352110,160248,63535,-149498,1
27.8306,2489,673976,-997948,-282015,247276,72958,-134715,1
28.7944,1235,-225371,-836493,-767553,-195580,-112448,-445340,1
29.4694,2647,503544,-394360,-351268,361623,93994,179237,0
29.9417,2662,874753,-918778,-387133,159708,84661,-160278,1
30.6528,2298,711132,-953129,-220901,347266,22081,-29197,1
31.3972,2413,675209,-766220,-354471,256196,109585,-64980,1
32.1139,2231,587898,-445667,-320942,281044,128312,65752,1
32.7944,2354,636427,-754047,-265582,331712,33834,452,1
33.5194,2257,802802,-913176,-263980,343482,62020,-21259,1
34.2917,2480,835886,-767229,-391050,360099,113751,79538,1
35.0722,2353,706408,-657837,-321774,149761,123568,-74274,1
35.7917,2285,597776,-450961,-384747,158579,210698,14366,1
36.4667,2397,727216,-723661,-319051,292944,101201,37435,1
37.1861,2367,731082,-959554,-360158,227983,121310,-86388,1
37.9306,2491,839698,-766608,-327133,386339,105047,72334,1
38.6472,2225,644901,-489089,-319190,255427,173824,44093,1
39.3056,2230,613165,-509314,-263220,258595,85392,-33689,1
39.9472,2434,693316,-884271,-155151,370526,34114,-38590,1
40.6333,2439,803989,-1038076,-207029,297420,-4188,-147948,1
41.4361,2519,806688,-812240,-360958,292657,144786,53243,1
42.2028,2209,547918,-629767,-313150,242597,67919,-90468,1
42.9111,2018,501841,-521331,-384296,234948,81653,-68310,1
43.5861,2401,646488,-872703,-376723,232836,-1650,-34619,0
44.3000,2163,800388,-970329,-268397,390089,3113,-484,1
45.0306,2497,743324,-964813,-237639,339341,66708,-84532,1
45.7250,2173,642834,-552748,-349272,205295,116581,-40189,1
46.3806,2370,608700,-555108,-335676,204945,206114,39884,1
47.0472,2301,770290,-823658,-401681,331801,61771,-5508,1
47.7278,2436,780435,-975983,-244417,305494,10128,-107000,1
48.4361,2345,668654,-717240,-339661,235992,153270,-34170,1
49.1139,2133,634473,-480622,-365821,221603,117903,67617,1
49.7528,2288,612326,-774606,-285607,314278,108449,-28858,1
50.4333,2342,812028,-944044,-340986,220887,73007,-49736,1
51.1667,2343,756392,-884335,-302129,354186,83819,-47890,1
51.9194,2289,732824,-511422,-418690,199603,138418,48025,1
52.5944,2183,587275,-551178,-221161,301476,99185,-34710,1
53.2250,2268,715030,-671350,-389230,236331,135815,31724,1
53.8694,2340,820390,-863208,-401155,260485,96071,-29377,1
54.5639,2343,688827,-983756,-166251,352494,6611,-113174,1
55.2694,2233,625707,-485863,-376915,209009,201000,17066,1
55.9139,2172,531110,-565923,-212226,240405,67484,-14283,1
56.5333,2273,686279,-840249,-250539,295821,49064,-53351,1
57.2000,2353,869542,-887504,-314316,316177,72451,-12767,1
57.9639,2313,764652,-876372,-380370,272818,100465,-17863,1
58.6889,2155,569917,-437529,-329450,164776,116353,-39500,1
59.3667,2196,607746,-698328,-266411,286599,54380,9276,1
60.1000,2385,874401,-860108,-411750,231647,101705,29462,1
