Tiempo(s),Amplitud,C0,C1,C2,C3,C4,C5,Clase
0.3083,2143,575088,192931,-32048,-519648,-504445,-20571,1
1.1194,2197,576166,353937,115505,-401581,-481618,-54168,1
1.9222,2211,657950,489247,220003,-286111,-586061,-32449,0
2.7389,2403,799271,-475620,-437492,-271407,262554,-59207,1
3.5500,2315,776803,361296,7593,-499112,-600242,35197,1
4.3694,2304,703813,-449118,-491411,-235802,264368,-44181,0
5.1861,2185,560855,432283,249703,-308724,-625545,-166131,0
5.9917,2212,613616,539794,241239,-350283,-617055,-113910,0
6.8028,2404,773149,295558,30417,-361561,-544356,58058,0
7.6083,2339,781729,304880,-54797,-523482,-594537,50381,1
8.4222,2283,668314,329538,59273,-401281,-574745,60878,1
9.2194,2195,543128,378633,148247,-417361,-551171,6179,1
10.0139,2228,658351,432259,131569,-481884,-557300,-46085,1
10.8139,2357,698019,-465996,-357659,-281696,223936,-115120,1
11.6111,2378,817966,301468,-17934,-576537,-611476,85954,1
12.4111,2296,658577,-434153,-484701,-144339,309156,-80630,1
13.2222,2208,559710,301098,152115,-420474,-582539,-49741,1
14.0028,2218,585190,404419,133814,-384484,-601304,-32766,1
14.8056,2368,767131,334470,12175,-434414,-597547,116184,1
15.6000,2282,674308,358974,199125,-278609,-635254,-42348,0
16.3806,2181,560807,331754,203281,-344919,-570932,-15075,1
17.1556,2225,638561,392140,135487,-377523,-581555,-12294,0
17.9528,2373,807388,359120,29786,-422885,-547466,132886,0
18.7417,2224,627061,292079,66975,-404162,-584937,-3539,1
19.5361,2232,602660,459114,202204,-218362,-594134,-32749,0
20.3111,2229,608517,367005,181472,-355499,-546296,-63342,0
21.0889,2261,625241,337364,142482,-304119,-546035,-38800,0
21.8778,2271,765866,332368,11431,-358064,-490832,122062,0
22.6556,2219,606494,400774,198340,-272434,-589208,-65635,0
23.4333,2250,616769,430890,207372,-255592,-586950,449,0
24.2194,2252,582349,362323,102999,-407342,-534112,77713,1
25.0000,2146,562098,353507,106144,-389386,-506578,-40309,1
25.7611,2173,561824,314520,114174,-307443,-542151,-54426,1
26.5361,2288,693604,374961,190902,-297066,-579224,-87844,0
27.3083,2252,696995,552170,184367,-98120,-554379,103554,0
28.0806,2180,600898,302463,93104,-447930,-487425,70445,1
28.8444,2270,571365,349112,156672,-318305,-508584,4152,0
29.6028,2141,617881,331491,132038,-331626,-490014,36669,0
30.3417,2190,568931,272954,101491,-390737,-533566,-32480,1
31.0750,2161,574895,491814,204899,-307943,-595609,-138423,0
31.8111,2140,619938,487537,166318,-339253,-589776,-33533,0
32.5611,2364,790570,-480421,-445023,-260396,221345,-108380,1
33.3306,2314,752654,250243,-7119,-471208,-540303,145323,1
34.1306,2172,620504,336568,171609,-336697,-571209,-5713,0
34.9361,2131,572958,423448,267156,-306953,-634797,-185191,0
35.7222,2179,615923,449774,175185,-397690,-596153,-44296,0
36.5056,2334,678905,314033,202392,-265066,-580614,-87119,0
37.3306,2324,848218,-484860,-504808,-269752,272114,-30759,0
38.1444,2350,793659,348479,52719,-389366,-671359,69740,0
38.9694,2192,601720,280282,80962,-378996,-506042,130917,1
39.7917,2221,526300,267974,195861,-385036,-533104,-48637,1
40.6028,2221,676016,437418,131720,-448099,-549572,32493,0
41.4000,2226,640443,293485,97271,-328845,-538146,-20784,0
42.2194,2363,808843,-494168,-514845,-293585,284251,-24879,0
43.0361,2290,664084,234593,14189,-470969,-515890,92102,1
43.8417,2242,628771,357755,156627,-418630,-558558,-98406,1
44.6667,2177,573064,247163,104926,-280436,-514917,71591,0
45.4917,2284,716754,307106,51892,-410253,-542497,129746,1
46.3306,2290,611413,308241,68560,-399099,-508596,103017,1
47.1722,2195,522810,337458,172442,-254040,-556349,-5476,0
47.9889,2181,607726,433111,221732,-331344,-582727,-157628,0
48.8222,2324,749878,382960,120377,-319995,-553458,85997,0
49.6444,2267,635611,367790,196199,-257398,-570878,-16733,0
50.4639,2203,618868,284237,63810,-404025,-513872,46159,1
51.2694,2188,579354,420769,219646,-382469,-571266,-52836,0
52.0694,2262,687966,341069,76665,-377205,-560789,25519,0
52.8667,2221,707051,-408285,-453224,-211516,276943,-41403,1
53.6639,2246,590984,379405,118553,-330328,-566374,38322,0
54.4583,2158,495760,389826,216305,-327897,-565439,-100535,1
55.2500,2227,653320,318283,74995,-368733,-533641,62213,0
56.0417,2290,749414,337458,-8890,-460867,-539883,155647,1
56.8389,2213,636681,335205,111131,-377393,-523087,117586,0
57.6333,2193,557851,288590,84004,-402073,-481314,-24256,1
58.4083,2180,583227,346401,90583,-351272,-578907,6014,1
59.1917,2235,754318,-387820,-473901,-174061,200998,-68303,0
59.9833,2213,673617,368433,74243,-392647,-493346,106998,0
60.7778,2196,571859,392646,148631,-313728,-533461,63795,0
61.5722,2213,535801,330550,196174,-301991,-561523,-63725,0
62.3417,2218,653219,489067,251481,-414887,-602603,-121230,0
63.1167,2186,692805,389740,93449,-436450,-521604,14703,0
