Tiempo(s),Amplitud,C0,C1,C2,C3,C4,C5,Clase
0.4111,3037,1858917,-2448528,-1717908,508762,113841,273091,0
1.1694,3096,1834778,-2571849,-1497250,649240,62731,190367,0
1.9944,3105,2024538,-2117291,-1892322,285828,76929,281954,0
2.8639,3034,1812276,-2573754,-1438018,576022,8096,117372,0
3.7583,3097,2008387,-2284529,-1750926,370169,10096,225465,0
4.6556,3116,1919336,-2488579,-1568656,468612,-23678,136044,0
5.5306,3087,2092793,-2083024,-1897459,268378,12424,248862,0
6.3889,3009,2048935,-2045322,-1772003,201575,-69107,233812,0
7.2306,3120,2045390,-2294304,-1799436,369008,21112,238297,0
8.0528,3055,1909526,-2385056,-1529010,439531,-56324,199536,0
8.8861,2989,2031896,-1987016,-1594485,-12206,-260771,191747,0
9.7333,2512,2079429,-2064773,-1735567,-30013,-182993,216290,0
10.5778,3348,1957368,-2466564,-1616527,382864,25813,274573,0
11.4583,3226,1920227,-2611032,-1657351,507458,120711,149990,0
12.3278,3225,1799151,-2635474,-1262512,389040,-119311,83765,0
13.1583,2831,1973955,-2130635,-1500880,-48710,-275237,159081,0
13.9444,2873,1956319,-2297057,-1505449,158345,-158526,238602,0
14.7278,3130,1954016,-2620046,-1514718,442981,22056,184911,0
15.5250,3187,2107485,-2200341,-2003094,309194,159387,387920,0
16.3139,3165,2085379,-2227794,-2024066,249087,186951,371253,0
17.1333,2982,1925353,-2498537,-1576997,463914,42624,182540,0
17.9056,2982,1893308,-2397496,-1334365,234968,-177588,171496,0
18.6722,3157,2077073,-2233482,-1828317,256436,-9509,286882,0
19.4306,3116,2066858,-2249522,-1958507,264964,139926,334461,0
20.1944,2998,1894133,-2535469,-1526645,476895,-13185,210753,0
20.9528,2995,2025731,-2158559,-1582578,110842,-172832,193554,0
21.6972,2966,2064045,-2127907,-1527619,7396,-245868,198913,0
22.2556,3384,4130316,-3326199,1058220,-2978485,435254,-3043166,1
23.1667,3205,2022229,-2442466,-1539490,417951,-29263,237667,0
23.8750,3272,2034046,-2302166,-1837144,318725,104947,315251,0
24.6083,3323,1915925,-2561906,-1629897,569625,123209,228168,0
25.3917,3075,2011242,-2289071,-1705102,342289,45149,217697,0
26.1889,2956,2067461,-2105741,-1615415,86010,-204711,193480,0
27.0000,2984,1900714,-2424523,-1348158,272386,-174492,165030,0
27.8167,3108,1879391,-2681442,-1418226,489358,11149,131259,0
28.6583,3066,2034199,-2430276,-1765474,431533,118646,257388,0
29.4833,3191,1967252,-2475153,-1689486,459941,118486,219268,0
30.3528,3040,1804601,-2475716,-1272933,351728,-142070,119104,0
31.1722,2992,2031406,-2101710,-1520221,13470,-203852,166702,0
31.9694,3059,2204693,-1980432,-1714820,7302,-146168,249299,0
32.7222,3044,2109617,-2389259,-1597588,185064,-97141,166647,0
33.4194,3310,2261456,-2030885,-1768402,187816,-75486,415845,0
33.9778,3382,2682992,-3566913,46761,-2852101,408406,-2854988,1
34.7750,3072,2135870,-2300026,-1656021,187766,-79546,138976,0
35.4444,2965,1924290,-2467165,-1516273,440413,-8401,225712,0
36.1583,3123,1951470,-2555759,-1712047,566320,154085,273547,0
36.9583,3023,2039791,-2406057,-1658809,310376,7052,192411,0
37.7639,3187,2104190,-2425231,-1816791,465270,87030,234243,0
38.5861,3136,1974349,-2547705,-1593888,516421,59364,107508,0
39.4056,2991,1959591,-2253976,-1437543,69712,-231985,151759,0
40.1861,2770,1893228,-2164174,-1383439,-15826,-244280,222437,0
40.9222,2842,1826202,-2156404,-1368037,-116323,-211761,230937,0
41.6722,3043,1875904,-2441431,-1355511,291458,-84640,224479,0
42.5389,3177,2124734,-2278999,-1860048,175668,78484,274558,0
43.3611,3188,2091139,-2413060,-1876139,421174,206847,268288,0
44.1722,3142,1842804,-2645393,-1370657,574280,20271,114975,0
44.9583,2998,1904194,-2394560,-1390890,342663,-111455,183182,0
45.7278,3111,1957066,-2413055,-1492850,403191,-25048,179944,0
46.4917,3016,2022811,-2273241,-1817551,355515,121432,323917,0
47.2583,3103,1905795,-2408311,-1617913,533397,82614,255677,0
48.0194,3086,2009388,-2154419,-1806460,358250,84163,298264,0
48.7778,3020,2001118,-2142538,-1722826,322052,6029,299797,0
49.5194,3043,1869652,-2346310,-1634850,564763,92889,288791,0
50.2472,2983,1950251,-2166238,-1773563,279940,6299,314796,0
50.9639,2981,2018593,-2151230,-1710833,229767,-57349,263619,0
51.6611,2956,1806750,-2420808,-1269608,345101,-165046,173725,0
52.3722,3041,1918649,-2340421,-1733363,455085,125290,311512,0
53.0639,3012,1752651,-2511915,-1519001,659299,94297,228907,0
53.7306,2994,1666737,-2577474,-1472139,652731,102461,230918,0
54.3722,2958,1714791,-2497578,-1438260,570617,4893,220714,0
55.0139,3053,1929610,-2154083,-1870775,318887,97150,292550,0
55.6611,2970,1739360,-2494068,-1506892,574599,77344,219953,0
56.3194,2985,1800855,-2285162,-1643294,504862,84136,284629,0
56.9944,2882,1960376,-1925272,-1569302,70534,-198923,222856,0
57.6639,2947,1914109,-2130661,-1523520,178677,-171777,205953,0
58.3472,3077,1939644,-2297534,-1765806,433515,137140,322553,0
59.0361,3084,1735410,-2559978,-1440485,717565,118972,213093,0
59.7556,3057,1857362,-2322003,-1681569,537628,141937,295350,0
60.5139,2925,2010532,-1971120,-1584711,142857,-152442,235232,0
61.2611,2964,2034496,-2031577,-1475399,22934,-252070,196275,0
62.0139,3107,1979576,-2384310,-1647053,414391,34139,255346,0
62.7694,3142,2020237,-2308030,-1835870,468187,181913,326862,0
63.5083,3053,1906299,-2292362,-1814890,473513,183391,330417,0
64.2528,3053,2007690,-2053520,-1741341,237307,-16593,301908,0
