Tiempo(s),Amplitud,C0,C1,C2,C3,C4,C5,Clase
0.4639,2147,631713,-610218,-291325,256924,100897,-63088,1
1.1833,2144,663059,-531464,-365173,206041,126461,26054,1
1.9250,2279,705355,-983776,-158733,317179,-6627,-64170,1
2.6861,2241,831097,-815865,-417606,253873,103994,13857,1
3.4139,2101,592712,-453826,-291584,230285,98291,25281,1
4.0833,2218,620281,-730445,-230105,254511,62855,-80582,1
4.7889,2274,785768,-908782,-304867,331105,75877,16924,1
5.5333,2254,770178,-878650,-281374,333759,66039,-11134,1
6.2972,2164,633431,-618508,-297880,240451,114514,-1220,1
6.9861,2188,700401,-594800,-373586,213133,111831,4938,1
7.7083,2561,956614,-664318,-339649,446697,179850,146274,1
8.4583,2149,521390,-939579,-266994,319395,25893,-101922,1
9.1833,2092,585052,-414258,-295439,262985,101626,8380,1
9.8778,2249,733095,-834330,-202953,350004,40464,-24447,1
10.6250,2272,780393,-908204,-312717,303311,64549,-50593,1
11.3778,2247,724136,-579295,-319376,250507,169756,50856,1
12.1694,2296,759380,-929143,-181748,303486,29165,-68014,1
12.9583,2240,706805,-926313,-214694,313590,76072,-80005,1
13.7000,2113,550178,-528054,-243752,302490,100569,-11905,1
14.3722,2161,661577,-633837,-323623,264414,91804,32799,1
15.0694,2265,896082,-903274,-365408,178002,89241,-94468,1
15.8139,2187,656725,-665482,-291890,300515,81936,-3151,1
16.5194,2129,570763,-519302,-235173,276365,90906,-32316,1
17.2361,2296,738507,-979852,-207002,325354,26753,-88212,1
17.9972,2255,737605,-941772,-232034,312135,14732,-75474,1
18.7722,2170,601547,-713632,-221000,298576,46380,-88610,1
19.4972,2181,646723,-635261,-282194,290121,114171,-459,1
20.2444,2265,756324,-932559,-239638,366003,35944,-68947,1
20.9806,2173,699866,-612243,-370621,227198,148763,41747,1
21.6806,2124,637632,-445482,-407861,177259,147214,57372,1
22.4000,2261,818411,-856111,-305295,304589,65006,-8305,1
23.1361,2250,651047,-893090,-222691,360265,67201,-69087,1
23.8500,2119,689529,-450052,-318481,199468,123308,71209,1
24.5250,2175,701728,-589686,-361642,222966,122845,63416,1
25.2417,2224,807477,-825027,-353950,308065,77835,34013,1
25.9833,2195,668961,-818430,-238440,333512,79585,-74233,1
26.7139,2122,596388,-540623,-289241,215993,114584,-78797,1
27.4361,2270,715345,-894392,-278671,307030,16258,-84298,1
28.1639,2223,651071,-880847,-213246,355117,59927,-62591,1
28.8444,2076,535718,-478782,-284077,227863,134536,-21772,1
29.5083,2252,700230,-904210,-196390,336604,11785,-80590,1
30.1917,2199,777293,-840702,-346830,302008,100712,24292,1
30.8667,2141,631074,-538233,-305449,257219,126158,-20901,1
31.5417,2201,688290,-806295,-276224,276386,52259,-37690,1
32.2528,2227,742349,-909280,-200868,335071,20846,-61730,1
32.9778,2165,675074,-618890,-344916,249847,78596,-27322,1
33.6861,2173,617457,-599477,-298635,288093,86364,-25951,1
34.4444,2252,795495,-878499,-298501,293784,62536,-42731,1
35.2167,2232,753379,-851242,-320949,313909,90338,-575,1
35.9722,2135,734727,-429715,-358341,274941,139254,111303,1
36.6722,2218,658271,-783277,-251690,299550,68245,-26721,1
37.4000,2213,788526,-819526,-338688,325288,110434,27215,1
38.1306,2146,646441,-577245,-384802,223556,134864,26908,1
38.8194,2159,575708,-658440,-250759,287733,87406,-36209,1
39.5556,2216,798309,-794104,-418190,298978,105451,48238,1
40.3222,2165,696871,-713246,-366354,254862,111806,57557,1
41.0889,2119,603253,-513075,-263646,216776,96453,-34186,1
41.8167,2197,723058,-589532,-400845,206110,135164,47702,1
42.6000,2246,672683,-1012877,-174847,326623,16262,-102113,1
43.4000,2214,742731,-789514,-366767,267295,107914,-1977,1
44.1806,2144,613647,-626507,-228334,285600,74813,-46315,1
44.9306,2234,649561,-846273,-186005,349200,29512,-43598,1
45.6944,2224,731905,-906021,-282205,299385,60999,-42175,1
46.4639,2180,662014,-816168,-256296,336879,96130,-49911,1
47.1944,2100,624685,-497053,-349643,212768,119115,45415,1
47.9056,2246,756308,-825360,-362784,259962,100829,-23443,1
48.6111,2252,778696,-805236,-384479,287621,130818,-29198,1
49.3222,2146,652241,-621721,-389180,233214,147749,19081,1
50.0083,2111,643133,-431489,-370566,185792,146531,78776,1
50.7000,2219,725765,-888248,-241768,312807,28406,-43847,1
51.4278,2249,764309,-884603,-323475,320507,79018,-34163,1
52.2000,2153,671892,-582336,-321955,260600,99224,28082,1
52.9389,2156,694397,-703482,-349233,293479,100605,37398,1
